OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,SalePrice,MSZoning,Utilities,BldgType,Heating,KitchenQual,SaleCondition,LandSlope
10,2240,1,128,1539,1318,3,12,2008,2034,452997,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
9,1644,2,366,1049,1188,2,9,2009,2023,384926,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1623,2,451,971,996,2,9,1935,1964,246325,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
2,1108,2,396,687,620,1,5,2003,2022,185140,FV,AllPub,1Fam,GasA,TA,Normal,Gtl
9,2057,1,157,1652,1267,3,11,2000,2016,380364,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1642,2,359,986,942,2,9,1996,2008,308449,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
10,2251,1,236,1893,1359,1,12,1935,1950,397961,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
10,1910,0,0,1210,1024,2,10,1902,1923,326555,RL,AllPub,TwnhsE,GasA,TA,Normal,Gtl
9,2236,3,625,1677,1340,2,12,1972,1975,433117,FV,AllPub,Twnhs,GasA,Fa,Normal,Gtl
6,1407,2,368,963,796,1,7,1907,1911,244040,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1486,2,343,992,779,1,8,1996,2000,286759,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
9,1883,1,212,1127,1327,1,10,1969,1977,354222,RH,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1598,2,395,1103,850,2,8,1940,1956,298220,RL,AllPub,Duplex,GasA,TA,Partial,Gtl
5,1242,2,434,695,745,2,7,2002,2014,269089,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
7,1663,3,644,911,917,2,9,1967,1968,313064,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
9,1702,3,582,1209,1050,2,9,1912,1924,321418,RL,AllPub,1Fam,GasA,Gd,Abnorml,Gtl
8,2032,2,417,1327,1091,3,11,1948,1969,335917,RH,AllPub,TwnhsE,GasA,TA,Partial,Gtl
7,1784,2,380,1501,1154,2,9,1959,1979,315327,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
4,1141,2,431,948,888,1,7,1901,1927,191527,FV,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1556,2,411,1343,849,2,8,1959,1981,317067,RH,AllPub,1Fam,GasA,Ex,Normal,Gtl
10,2228,1,168,1457,1458,2,12,1904,1922,361936,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
5,1208,2,364,866,686,2,6,1943,1945,239311,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1675,1,213,779,1155,2,9,1926,1935,263450,RL,AllPub,TwnhsE,GasA,Gd,Abnorml,Gtl
9,2182,1,258,1485,1528,2,11,1931,1932,354943,RL,AllPub,Duplex,GasA,Ex,Normal,Gtl
8,1637,1,245,1160,958,3,8,1920,1932,277677,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,1873,2,352,1334,971,1,10,1907,1925,296370,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1863,2,358,1297,1212,2,9,2001,2026,350428,RL,AllPub,1Fam,OthW,TA,Partial,Gtl
6,1480,2,365,1045,910,1,9,1971,1987,280814,FV,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1399,2,370,572,889,3,8,1949,1969,240970,RL,AllPub,Twnhs,GasA,Gd,Normal,Gtl
8,2042,1,109,1467,1191,1,11,1966,1979,375331,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,1680,2,439,1248,919,1,9,1943,1954,309272,C (all),AllPub,1Fam,GasA,Fa,Normal,Gtl
9,1587,1,177,1311,1068,2,8,1957,1977,340699,RL,AllPub,Twnhs,GasA,Gd,Normal,Gtl
9,2078,2,423,1509,1278,2,11,1902,1913,371663,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1409,3,584,966,701,1,7,1985,1995,311747,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1788,1,198,1417,1141,2,9,1969,1975,312661,RL,AllPub,TwnhsE,GasA,Gd,Normal,Gtl
8,2066,1,165,1092,1288,2,11,1901,1904,316505,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
7,1775,2,398,1165,1032,1,10,1986,2004,320373,RL,AllPub,1Fam,GasA,Fa,Normal,Gtl
8,2014,3,556,1294,1370,2,11,1943,1943,337207,RL,AllPub,1Fam,GasA,Gd,Partial,Gtl
8,2204,2,398,1537,1260,2,11,1901,1928,348670,RH,AllPub,1Fam,GasA,TA,Normal,Gtl
9,2143,3,672,1170,1268,2,11,2001,2024,397733,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1566,2,426,1294,1016,2,8,1980,2008,309891,RL,NoSeWa,1Fam,GasA,TA,Normal,Gtl
6,1826,3,614,1240,1103,2,11,1934,1936,307303,RL,AllPub,1Fam,OthW,TA,Normal,Gtl
4,1550,1,134,1132,791,2,8,1997,2009,254634,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,2003,1,228,1435,1220,1,11,1986,2000,354443,RL,AllPub,1Fam,GasW,Gd,Normal,Gtl
3,951,3,633,855,529,1,4,1929,1930,164499,FV,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1379,3,613,686,913,2,7,1907,1917,275716,RL,AllPub,Duplex,GasA,Ex,Normal,Gtl
7,1539,1,210,1094,938,3,9,1921,1924,284398,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1640,1,192,1319,993,2,8,1943,1961,269758,RL,AllPub,1Fam,GasA,Gd,Family,Gtl
7,1681,0,32,1162,903,1,9,1957,1985,286154,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
3,1008,1,269,562,581,1,5,1935,1951,162155,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
3,1162,1,216,722,794,2,6,1968,1970,215683,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,1505,3,551,994,825,2,8,1976,2003,328696,RL,AllPub,1Fam,GasA,Fa,Normal,Gtl
6,1528,2,355,961,913,1,8,1992,2009,286138,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
4,1423,2,436,973,760,3,7,1930,1937,233515,RL,AllPub,1Fam,GasA,Gd,Abnorml,Gtl
7,1759,2,351,1457,937,2,9,1946,1967,314701,RL,AllPub,TwnhsE,GasA,Fa,Normal,Gtl
8,1938,2,410,1266,1154,3,9,1954,1978,357590,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
5,1669,2,382,1095,1018,2,9,1979,2002,299659,RH,AllPub,TwnhsE,GasA,Gd,Normal,Gtl
7,1636,2,346,1214,1180,2,9,2005,2030,302334,RL,AllPub,1Fam,GasA,TA,Partial,Gtl
4,1069,2,441,722,595,2,5,1961,1979,204516,RM,AllPub,1Fam,GasA,Ex,Normal,Gtl
3,1287,2,435,701,767,2,7,1929,1933,178292,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1884,2,332,1309,1005,2,10,1954,1960,307785,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
7,1761,2,424,1217,1117,2,9,1915,1935,264720,RL,AllPub,Duplex,GasA,Gd,Normal,Mod
7,1617,3,616,1278,1010,2,9,1911,1918,268207,RL,AllPub,1Fam,GasA,Gd,Normal,Mod
8,1800,2,441,1114,1228,3,9,1916,1943,315845,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
10,1844,2,408,1438,1217,2,11,1915,1919,354889,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1872,1,271,1295,1158,2,9,1911,1927,279692,C (all),AllPub,1Fam,GasA,TA,Normal,Gtl
6,1715,2,393,1034,981,3,9,1907,1911,264496,RL,AllPub,2fmCon,GasA,TA,Normal,Gtl
8,1537,2,386,879,942,1,8,1983,1986,316917,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1673,0,0,1461,992,1,9,1902,1923,269952,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1730,2,353,1187,1133,2,9,1915,1933,281726,C (all),AllPub,1Fam,GasA,Gd,Normal,Gtl
4,995,2,348,836,679,2,7,1929,1955,209499,RL,AllPub,TwnhsE,GasA,Gd,Normal,Gtl
2,658,1,210,204,365,2,3,2008,2028,145109,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
10,2174,3,586,1917,1158,2,12,1922,1923,394001,RM,AllPub,1Fam,GasA,Gd,Normal,Gtl
9,1870,1,216,1442,1255,2,9,1991,2001,363671,RL,AllPub,1Fam,Wall,Gd,Normal,Gtl
8,2163,3,539,1475,1355,2,11,2003,2024,417486,RL,AllPub,TwnhsE,GasA,TA,Normal,Gtl
6,1690,2,357,1137,982,1,9,1904,1916,272577,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
5,1444,2,356,1120,920,2,7,1983,1997,255148,RM,AllPub,1Fam,GasA,TA,Normal,Gtl
5,1454,2,508,1119,879,2,9,2003,2014,278906,FV,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1766,2,391,1263,1191,1,10,2007,2028,285339,FV,AllPub,1Fam,GasA,Gd,Normal,Gtl
7,1819,2,396,1274,898,2,10,1964,1984,302645,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1899,2,396,1413,1099,2,10,1929,1950,321445,FV,AllPub,1Fam,GasA,TA,Normal,Mod
8,1603,2,477,860,1121,1,9,1920,1930,287757,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
6,2112,2,319,1422,1323,1,11,1983,1989,350855,RL,AllPub,1Fam,GasA,Fa,Normal,Gtl
10,1879,3,597,1068,1304,3,9,1969,1996,363887,RL,AllPub,1Fam,GasA,Fa,Normal,Gtl
8,1737,1,118,1306,920,2,9,1921,1925,287422,RL,AllPub,1Fam,GasA,Gd,Abnorml,Mod
7,1319,2,281,821,898,1,7,1981,1997,298845,RL,AllPub,TwnhsE,GasA,TA,Partial,Gtl
7,1757,1,163,994,1155,1,9,1971,1994,312254,RL,AllPub,Duplex,GasW,TA,Normal,Gtl
6,1530,2,420,951,749,2,7,2002,2021,292573,FV,AllPub,1Fam,GasA,TA,Abnorml,Gtl
5,1503,2,360,1074,872,2,7,1931,1939,273947,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
6,1152,1,219,775,680,2,6,1932,1945,237881,RL,AllPub,1Fam,GasA,TA,Partial,Gtl
8,2022,1,205,1239,1051,1,11,1915,1940,339942,FV,AllPub,1Fam,GasA,TA,Abnorml,Gtl
2,738,0,0,260,415,3,4,1975,1986,126217,RL,AllPub,1Fam,GasA,TA,Partial,Gtl
4,1170,2,463,830,789,2,6,1937,1942,193146,RL,AllPub,TwnhsE,GasA,TA,Normal,Gtl
3,1236,2,370,778,702,2,6,1997,2013,206238,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
3,1102,3,619,732,685,2,5,1913,1931,185174,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
9,2016,2,309,1387,1234,2,11,1935,1953,373791,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,1959,1,204,1435,1174,3,10,1996,2021,358960,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
7,1735,3,587,1341,970,3,9,1922,1937,312993,RM,AllPub,1Fam,GasA,TA,Alloca,Gtl
4,1131,2,340,813,744,2,5,2008,2019,248559,RL,AllPub,TwnhsE,GasA,Gd,Normal,Gtl
7,1616,2,419,1083,810,3,8,1965,1976,298661,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1692,1,163,1188,1016,2,9,2004,2023,320129,RL,AllPub,1Fam,Grav,Gd,Normal,Gtl
5,1170,2,486,768,840,3,7,1984,1989,250259,RL,AllPub,2fmCon,GasA,Gd,Normal,Gtl
7,1849,3,478,1047,1064,1,9,1901,1923,269550,RL,AllPub,1Fam,GasA,Ex,Abnorml,Gtl
6,1557,2,412,1253,861,2,7,1990,2015,306463,FV,AllPub,1Fam,GasA,TA,Abnorml,Gtl
7,1664,2,402,1300,1070,1,8,1972,1975,300964,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
7,1888,2,385,1619,1149,2,11,1964,1969,347784,RL,AllPub,2fmCon,GasA,Ex,Normal,Mod
3,1025,3,573,1059,689,1,5,1974,1984,235896,FV,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1463,1,203,847,881,2,7,1966,1966,255262,RL,AllPub,1Fam,GasA,Po,Normal,Gtl
7,1553,2,453,1036,692,2,8,1951,1980,275155,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1718,3,516,1579,1148,2,8,1961,1984,326461,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
9,2011,1,159,1401,1413,2,11,1922,1944,343701,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,1666,2,347,1202,1128,3,10,1925,1939,322410,RM,AllPub,1Fam,GasA,Fa,Normal,Gtl
5,1314,2,345,691,434,2,6,1967,1993,245670,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
4,1068,2,417,770,685,3,7,1981,1991,211535,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1509,2,429,1346,858,1,8,1954,1978,301819,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
2,554,2,453,580,300,2,3,1905,1923,86507,C (all),AllPub,1Fam,GasA,Ex,Normal,Gtl
7,1603,2,430,1030,974,2,9,1934,1951,302218,C (all),AllPub,1Fam,GasA,Ex,Partial,Gtl
10,1759,1,234,1171,1040,1,9,1921,1937,371729,RL,AllPub,TwnhsE,GasA,TA,Normal,Gtl
7,1557,2,329,920,985,2,9,1942,1960,270856,RL,AllPub,Duplex,GasA,Ex,Normal,Gtl
6,1377,1,274,836,831,2,8,1914,1934,210651,RL,AllPub,TwnhsE,GasA,Po,Normal,Gtl
7,1860,0,0,1015,1003,2,10,1985,1998,308368,RL,AllPub,1Fam,GasA,Gd,Abnorml,Gtl
7,1447,3,651,1000,810,2,7,1959,1985,281997,C (all),AllPub,1Fam,GasA,TA,Normal,Gtl
7,1497,2,331,1274,824,2,7,2000,2017,302156,FV,AllPub,1Fam,GasA,Gd,Normal,Gtl
10,2023,3,587,1469,1042,1,11,2005,2032,406229,C (all),AllPub,1Fam,GasA,TA,Normal,Gtl
6,1383,1,247,1173,692,1,8,1911,1929,237035,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
10,2373,2,401,1822,1402,2,12,1948,1962,412648,RM,AllPub,1Fam,GasA,TA,Normal,Gtl
9,1722,1,162,1123,1175,1,9,1941,1955,339878,FV,AllPub,1Fam,GasA,TA,Normal,Gtl
5,1274,2,465,777,710,1,6,1937,1940,218034,RL,AllPub,1Fam,GasA,Ex,AdjLand,Gtl
3,1116,2,341,673,593,2,5,1981,1987,178670,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
4,1376,1,198,705,707,2,7,1944,1956,206406,RM,AllPub,1Fam,GasA,TA,Normal,Gtl
2,823,3,632,580,496,2,4,1934,1936,126101,RL,AllPub,1Fam,GasA,TA,Abnorml,Gtl
4,816,1,304,135,607,2,4,1929,1944,161842,RH,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1769,2,377,1327,1261,2,9,1987,1995,327186,RL,AllPub,Twnhs,GasA,TA,Normal,Gtl
4,1470,3,586,1039,910,2,8,2005,2012,233006,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
6,1556,3,577,1159,947,2,8,1929,1948,250893,RM,AllPub,1Fam,GasA,Gd,Abnorml,Gtl
9,1997,3,611,1556,1143,2,11,1977,1989,387165,RL,AllPub,Duplex,GasA,Fa,Normal,Mod
2,687,2,429,510,374,2,3,1905,1921,105613,RM,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,1566,1,254,1340,1002,2,8,1966,1982,323814,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1503,1,237,1145,870,1,8,1979,1995,272109,RL,AllPub,1Fam,GasA,TA,Family,Gtl
4,914,2,375,526,532,2,4,1906,1906,151662,RL,AllPub,1Fam,GasA,Gd,Alloca,Gtl
8,1956,2,440,1333,1171,2,11,1951,1958,367019,RL,AllPub,1Fam,GasA,TA,Normal,Mod
7,1480,1,204,696,828,3,8,1913,1931,274753,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
9,1945,2,437,1226,1159,2,10,1972,1977,388013,FV,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1422,2,440,938,651,2,8,1914,1916,291713,RL,AllPub,1Fam,GasA,Gd,Normal,Sev
8,1721,2,481,1286,1087,1,8,1920,1946,320807,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1262,2,382,770,992,1,7,1934,1938,232042,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
5,885,2,372,432,475,2,5,1965,1977,212405,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,1908,2,422,1052,1182,2,10,1990,2004,342421,FV,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,2128,1,259,1400,1361,1,11,1901,1914,308380,RL,AllPub,2fmCon,GasA,Gd,Normal,Gtl
10,2325,2,402,1920,1523,2,12,1934,1962,386637,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1636,1,262,1185,955,1,9,1981,2003,296451,RL,AllPub,Duplex,GasA,TA,Normal,Gtl
6,1417,1,234,1132,669,3,8,1977,1992,276615,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1961,2,389,1237,1203,1,11,1919,1936,323356,RL,AllPub,2fmCon,GasA,TA,Normal,Gtl
6,1744,3,628,984,1059,3,10,1981,2002,302312,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
9,1977,1,178,1200,1151,3,10,1909,1937,307668,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
9,1713,2,411,1184,1014,2,10,1924,1945,338305,C (all),AllPub,1Fam,GasA,TA,Partial,Gtl
6,1400,2,346,680,854,2,8,1965,1975,261366,RM,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,2140,1,196,1347,1320,2,11,1924,1926,348779,RM,AllPub,1Fam,GasA,TA,Partial,Gtl
8,1785,2,449,1161,1102,2,10,1953,1974,335013,FV,AllPub,Twnhs,GasA,Gd,Normal,Gtl
4,535,2,438,176,300,2,3,1932,1941,158206,RH,AllPub,1Fam,GasA,Gd,Abnorml,Gtl
9,1656,1,231,840,1032,2,9,1935,1944,321551,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1565,2,414,1138,910,2,8,1994,2023,322385,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,2007,2,407,1411,1268,2,11,1913,1933,345106,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1445,2,336,1128,804,2,8,1964,1979,274374,RM,AllPub,TwnhsE,GasA,TA,Normal,Gtl
9,2160,2,389,1345,1303,1,12,2009,2020,414077,RL,AllPub,1Fam,GasA,TA,Partial,Gtl
6,1394,1,209,1089,674,2,8,1979,1980,266267,RL,AllPub,1Fam,GasA,Fa,Normal,Gtl
2,507,2,343,584,300,1,4,1953,1961,122633,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
9,1851,1,112,1335,1167,1,10,2009,2032,404162,RL,AllPub,1Fam,Wall,TA,Normal,Gtl
4,1268,2,456,796,657,1,6,1951,1953,223107,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1552,2,402,1108,899,1,8,1902,1925,244158,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
10,1848,1,210,1194,868,1,10,1998,2027,398103,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
10,2029,2,427,1296,1080,2,11,1940,1964,364460,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,2186,1,150,1632,1200,1,11,1905,1934,310982,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1403,2,379,961,851,2,7,1924,1938,257098,RL,AllPub,1Fam,GasW,TA,Normal,Gtl
7,1782,2,475,1428,1102,1,10,1912,1914,304258,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
6,1080,1,175,689,642,3,6,1997,2015,252246,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1672,3,586,1119,964,2,9,1907,1924,274452,RL,AllPub,1Fam,GasA,Gd,Partial,Gtl
8,1621,2,366,1049,934,2,9,1920,1927,315852,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,1880,1,162,1147,1199,2,11,1997,2022,345336,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1541,2,455,1200,945,2,8,1967,1983,319592,RM,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,1858,2,276,1628,1081,2,10,1924,1931,331484,RL,AllPub,Twnhs,GasW,TA,Normal,Gtl
4,1018,3,577,655,740,1,4,1978,1984,204272,RL,AllPub,1Fam,Wall,Ex,Normal,Gtl
7,1506,2,411,952,1098,3,8,1967,1996,298731,RM,AllPub,1Fam,GasA,Gd,Normal,Mod
3,1138,2,484,684,558,2,6,1944,1950,180583,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1563,2,343,992,990,2,8,1959,1961,302554,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
7,1726,2,334,1455,1344,2,9,1911,1911,300453,RL,AllPub,TwnhsE,GasA,Gd,Normal,Gtl
9,1911,2,356,1229,1174,2,11,1931,1934,326693,RM,AllPub,TwnhsE,GasA,Ex,Normal,Gtl
6,1513,1,235,971,919,2,8,1995,2019,266423,RM,AllPub,1Fam,GasA,TA,Normal,Gtl
4,1289,2,406,716,767,2,6,1991,1995,215652,RL,AllPub,1Fam,GasA,Fa,Normal,Gtl
5,1279,2,327,939,816,2,7,1912,1912,218909,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1600,3,604,1109,1035,1,9,1930,1944,312914,RL,AllPub,1Fam,GasA,Fa,Normal,Gtl
7,1543,1,277,909,801,2,8,1977,1981,263244,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
4,1439,2,413,873,860,2,8,1919,1931,238505,RL,AllPub,1Fam,GasA,TA,AdjLand,Gtl
4,1223,3,608,1086,506,1,6,1917,1924,177765,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1631,2,411,1146,957,1,9,1992,1999,343236,RL,AllPub,Twnhs,GasA,TA,Partial,Gtl
4,1280,3,620,911,677,2,6,1959,1963,236970,RL,AllPub,Twnhs,GasA,Gd,Normal,Gtl
8,1893,2,336,1340,1169,3,9,1962,1989,336583,RL,AllPub,TwnhsE,GasA,TA,Normal,Gtl
8,1903,2,388,1541,976,1,10,1905,1913,333099,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
4,1004,2,391,546,551,2,5,1931,1931,167537,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
4,1063,1,175,684,734,1,5,1992,1995,214026,RL,AllPub,1Fam,GasA,Fa,Normal,Gtl
10,1964,2,434,1349,1110,2,10,1942,1944,349111,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
6,1427,1,168,740,665,2,8,1901,1902,246518,RL,AllPub,1Fam,GasA,Fa,Normal,Gtl
6,1607,2,382,987,989,3,8,1959,1966,281673,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1859,2,336,1458,1056,2,10,1922,1944,303779,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
10,2175,2,418,1636,1286,2,12,1982,1990,429651,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
10,2370,1,247,1799,1349,2,12,1930,1931,425662,RL,AllPub,1Fam,GasA,TA,Abnorml,Gtl
8,1937,3,581,1267,1359,1,10,1904,1917,313663,FV,AllPub,1Fam,GasA,Gd,Normal,Mod
6,1471,1,240,959,726,2,9,1982,1995,273286,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
4,963,0,0,405,861,2,5,1933,1936,154657,RL,AllPub,1Fam,GasA,TA,Partial,Gtl
8,1657,1,73,1299,955,3,8,1909,1938,286346,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
7,1597,3,597,1282,976,3,9,1988,1993,316326,FV,AllPub,TwnhsE,GasA,Ex,Normal,Gtl
6,1665,3,591,1328,941,1,8,1901,1911,261263,RH,AllPub,1Fam,GasA,Gd,Partial,Gtl
9,1944,2,405,1601,1104,1,10,1910,1912,340774,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
4,1068,3,612,810,562,1,5,1949,1956,203433,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
7,1503,1,165,1285,961,3,8,1930,1932,272443,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
2,886,3,673,590,390,3,5,1955,1968,167877,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
7,1827,1,196,1013,1132,2,10,1978,2005,326958,RL,AllPub,TwnhsE,GasA,TA,Normal,Mod
3,1368,1,190,1086,602,2,7,1972,1984,184797,RM,AllPub,TwnhsE,GasA,Gd,Normal,Gtl
4,1158,1,237,540,722,2,5,1986,1998,202376,RL,AllPub,1Fam,Grav,Gd,Normal,Mod
4,1191,2,400,859,799,2,6,1982,1983,244398,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1407,2,528,1128,716,1,8,1908,1920,271390,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,2187,2,389,1579,1380,2,12,1998,2026,392817,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1369,3,617,1300,826,1,7,1920,1938,285724,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
10,2334,2,362,1338,1560,1,12,1972,1998,414875,RL,AllPub,1Fam,GasA,TA,Abnorml,Gtl
6,1426,1,243,985,770,3,8,1927,1932,246144,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1380,2,415,968,1109,2,6,1961,1976,262601,RL,AllPub,1Fam,GasA,Ex,Abnorml,Gtl
9,1727,2,383,1007,797,2,10,2009,2010,387096,RL,AllPub,1Fam,GasW,Gd,Normal,Gtl
5,1832,2,356,1109,1066,2,10,1906,1913,245178,RM,AllPub,1Fam,GasA,TA,Normal,Gtl
10,2144,2,334,1374,1116,2,12,1979,1995,409925,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
2,904,2,420,467,727,2,3,1915,1937,138110,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
10,2277,1,130,1577,1340,2,12,1996,1997,419243,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
3,919,2,465,552,534,2,4,1903,1912,142619,RL,AllPub,1Fam,GasA,TA,Partial,Gtl
9,1950,3,536,1412,1214,2,12,1903,1930,345367,FV,AllPub,1Fam,GasA,Gd,Normal,Gtl
7,1661,0,0,1260,996,1,10,2002,2017,314519,RM,AllPub,1Fam,GasA,Gd,Partial,Gtl
10,1997,3,555,1485,1138,2,10,1939,1944,388155,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
4,1439,2,401,945,737,2,8,1916,1943,201202,RL,AllPub,1Fam,GasA,Gd,Partial,Gtl
7,1606,1,201,1166,980,2,8,2000,2001,307060,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
10,1789,3,622,1407,1111,2,9,2002,2003,407893,RH,AllPub,1Fam,GasW,TA,Family,Gtl
7,1589,2,323,1179,1022,2,8,1951,1976,315693,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1699,2,361,1468,1210,1,9,1992,2004,342655,RL,AllPub,1Fam,GasA,TA,Partial,Gtl
8,1621,1,248,1282,755,2,9,1951,1974,292712,RL,AllPub,1Fam,GasA,TA,Normal,Sev
7,1487,1,232,1298,885,3,7,1935,1949,274242,RM,AllPub,1Fam,Wall,Gd,Normal,Gtl
7,1540,2,275,704,1043,1,8,1937,1964,271404,RL,AllPub,TwnhsE,GasA,Fa,Normal,Gtl
